name,taxType,link,image,price,soldOut
[진천군]된장1kg,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-15460-1010010?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_cf5f3d6333f6a56b52e9ca3f4b87.jpg,"15,000 P",FALSE
[전라북도 본청] 전북투어패스 2일권 모바일권,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-2192-1012001?tpa_index18274=8&PB_1410486717=5&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_47d45cc776b62072863969d7269e.jpg,"12,900 P",FALSE
"[충남홍성 갈산농협] '명품' 홍성한우 암소구이세트 3호 (등심600g,채끝600g,부채500g)",A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-10665-1011013?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_6c269486c4364981be0a81919cc1.jpg,"170,000 P",FALSE
고향사랑 백학참쌀 20kg,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1726-1008030?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8bf1910e6f7031fe91f297bbe6d8.jpg,"66,000 P",FALSE
[전남 해남군] 해남사랑상품권 1만원권(지류형),A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-2233-1013015?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_0ed5b873612857df11eae7ebe101.jpg,"10,000 P",FALSE
"[강원 인제군] 천연비누 4종(구상나무, 자작나무, 어성초, 만병초),  비누홀더",C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8979-1009017?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_4df58c44a1f48bb7d63e18a0ce50.jpg,"18,000 P",FALSE
[경북 안동] 안동참마돼지3호,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-853-1014005?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_a86677171f27889b7adbeb3701f3.jpg,"45,000 P",FALSE
[강원 철원]동송농협 철원쌀 오룽 세트 A,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-10634-1009014?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_189c7982e2f180bea000bc88f376.jpg,"30,000 P",FALSE
[부여군♡] 부여세도대추방울토마토즙 20포(100ml * 20포),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-19620-1011010?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_3c63e05db380b36d5913ffec75aa.jpg,"16,000 P",FALSE
청송 꿀맛사과 (4kg 16내),A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17218-1014014?tpa_index18274=8&PB_1410486717=6&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_28b514f8ed8e663aeb4c825e97ed.jpg,"29,000 P",FALSE
[영암군]영암사랑상품권 1만원권(지류형),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-13632-1013016?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_e91c3a9c93aeb671df78570346fb.png,"10,000 P",FALSE
홍어 500g 국산홍어 목포홍어 삭힌홍어 팔도홍어,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8015-1013002?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_a7ee92074f03fa23526687aa1055.jpg,"30,000 P",FALSE
[대전 서구]브니엘 SLIM카드지갑+레더키링 세트,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-16798-1006004?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_441053594716afb08342dc1e015d.jpg,"50,000 P",FALSE
[강원도 본청]금강산수해풍미,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-15533-1009001?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_9d99ceded1c82b304916c00feadb.jpg,"15,000 P",FALSE
비트사과즙,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8614-1009005?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_96e430112e9b490dcefa83f81077.jpeg,"20,000 P",FALSE
데일리30 드립백선물세트,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-19421-1008020?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_f364819949998376740c8ff7e9cb.jpg,"30,000 P",FALSE
별하늘 바람시 유정란,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-14643-1013018?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_cfe3937e74583b3f5a4c0d1e095d.jpeg,"17,000 P",FALSE
"더비 천연 벌꿀 선물세트 2종 (선택 아카시아, 밤꿀, 때죽꿀, 야생화꿀)",A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-18636-1005006?tpa_index18274=8&PB_1410486717=7&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_375d9daa24140ece69f50ac5de82.jpg,"58,000 P",FALSE
예가정성 세척사과 3kg,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-9057-1011014?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_6cc087552391b4b2e181f32c4305.jpg,"15,000 P",FALSE
[충남 아산시] 아산담은 쌀조청(500g*4개),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17138-1011005?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_630cf6b0ef23f9de851878b34cd4.jpg,"30,000 P",FALSE
[청룡다원]기산차 유기녹차 80g 보성녹차,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-4236-1013011?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_dcc9e78c6954d56663ef485652e2.jpg,"27,000 P",FALSE
[충남 답례품] 서산6년근수삼 왕대편3kg,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1533-1011001?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_338ee4b7b313fa7944e65e0a3303.jpg,"300,000 P",FALSE
[경북 영주시]한방차선물세트,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-14180-1014007?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_72f0509270e26671ce856f48107a.jpg,"32,500 P",FALSE
남구사랑 레진거울,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-13110-1003005?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_e45749143c53a16132699d6b28a1.jpg,"30,000 P",FALSE
[한국천연염색 숨] 천연염색 녹차베개,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-7110-1013011?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_2d22249b7f54236c0c5ae1ad4024.jpg,"20,000 P",FALSE
임금님표이천한우 사골곰탕실속세트(500ML*3팩),C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8870-1008022?tpa_index18274=8&PB_1410486717=8&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_c50ab0df4a94352c90ad8660f409.jpg,"10,000 P",FALSE
[강원 양구군] 산호박·곰취찐빵,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-17160-1009016?tpa_index18274=8&PB_1410486717=9&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_84f8749a98a59d6da52633bbef5e.jpg,"25,000 P",FALSE
(전남 진도군)안옥남 고향사랑 세트 02,A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-14032-1013022?tpa_index18274=8&PB_1410486717=9&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_126d9b40724ab0292411928a94d6.jpg,"30,000 P",FALSE
[사천시] 아라마루 아쿠아리움&사천바다케이블카 통합할인권 크리스탈캐빈 (대인 14세 이상),A,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-11274-1015005?tpa_index18274=8&PB_1410486717=9&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_e3015f572d478fa6b06f0d8fbf19.jpg,"33,500 P",FALSE
[전남 고흥군] 담우 열두달 산채 곤드레 나물밥(2종) 밀키트 세트,C,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-19772-1013010?tpa_index18274=8&PB_1410486717=9&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_5322d7fee58095ed9b1c023f4901.jpg,"15,000 P",FALSE
