name,link,image,price,soldOut,state,region,category,taxType
토토미 현미귀리 누룽지 450g,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-12434-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_511cfd759098aaa6752cbdf33ebc.jpg,"14,000 P",FALSE,강원도,원주시,가공식품,C
[자연이 준 선물] 농가인 새싹보리 분말 선물 세트 (블랙보리새싹+보리새싹),https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-6581-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_4b46ef5b566b6a4b7c469205b161.png,"25,000 P",FALSE,강원도,원주시,가공식품,C
장바우 치악산 황골엿,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1505-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_49b025889c79c73c37903b6dae3d.jpg,"30,000 P",FALSE,강원도,원주시,가공식품,C
[허브이야기]폴인허브4종세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-943-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_1465a44af5fab42467265124e9b9.jpg,"21,000 P",FALSE,강원도,원주시,가공식품,C
[강원 원주] 국산 로스터리 들기름 & 참기름 선물세트,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-6753-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_a7514877a88259c34b04a822d73e.jpg,"52,000 P",FALSE,강원도,원주시,가공식품,C
"건강한 우리기름 세트(생들기름2,들기름1)",https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-2165-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_72ba138cbc98e4a6931081b7e161.jpg,"30,000 P",FALSE,강원도,원주시,가공식품,C
꼬꼬댁 장조림 2알 20봉,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-8747-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_8c87e50118f15d426d591fad6947.png,"30,000 P",FALSE,강원도,원주시,가공식품,C
원주 토토미쌀 생크림빵,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-6196-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_d4e3570ad29f4b37c0be87349459.jpg,"30,000 P",FALSE,강원도,원주시,가공식품,C
원주 전통주 12월의양조장 14도 자색고구마 막걸리 3병 375ml,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-1660-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_4e65747fec9084792a1850462aa5.jpg,"30,000 P",FALSE,강원도,원주시,가공식품,C
(강원 원주) 들기름 모음,https://shop.ilovegohyang.go.kr/kwa-ABS_goods_v-3790-1009003?SCH_goods_category_serial=%7E1009003&SCH_goods_group=M04&sch_method=and&tpa_index18274=8&PB_1410486717=2&SCROLLLOADING=Y,https://shop.ilovegohyang.go.kr/thumb/d593060f9bf1cef1b7c8c1e58464c59a/800_800_ef8e84592d517ed00bd64e52f92d.jpg,"34,000 P",FALSE,강원도,원주시,가공식품,C
